stock,p_e_ratio,p_b_ratio,p_s_ratio,ev_ebitda,ev_gp,current_price
360ONE.NS,39.030712,5.6301255,10.864551,20.85,27130800128,
3MINDIA.NS,58.852272,20.365124,7.8214836,44.364,17314312192,
ABB.NS,67.06744,17.959507,10.358307,53.216,51375001600,
ACC.NS,15.352776,1.9822123,1.6899037,11.147,1.0011E+11,
AIAENG.NS,30.64947,4.9598923,7.3559833,24.192,25496428544,
APLAPOLLO.NS,67.41107,12.123671,2.4658556,42.109,28193200128,
AUBANK.NS,24.72232,3.0312493,5.951184,,87452696576,
AADHARHFC.NS,21.536432,3.0389636,10.327771,,18780700672,
AARTIIND.NS,51.43956,3.036889,2.3343647,20.597,26160001024,
AAVAS.NS,24.558353,3.2037907,10.556666,,13154977792,
ABBOTINDIA.NS,45.431995,15.170561,10.026827,42.281,27316899840,
ACE.NS,41.46879,11.649918,5.040213,32.051,9762109440,
ADANIENSOL.NS,99.28813,4.6850758,4.441287,16.468,1.1454E+11,
ADANIENT.NS,41.96508,6.228121,3.0037408,26.338,4.65255E+11,
ADANIGREEN.NS,120.6019,15.218078,14.544216,29.908,97720000512,
ADANIPORTS.NS,27.26777,4.8457375,9.92484,18.899,2.03969E+11,
ADANIPOWER.NS,17.288763,4.175418,3.8333952,11.923,2.51138E+11,
ATGL.NS,112.934235,17.45283,14.733545,64.889,17265799168,
AWL.NS,27.40996,3.5541117,0.5263733,13.305,75348303872,
ABCAPITAL.NS,17.573238,1.9020481,1.9599882,,78432903168,
ABFRL.NS,,2.1720624,0.71351683,45.678,80452100096,
ABREL.NS,,6.102589,19.903166,142.176,4768799744,
ABSLAMC.NS,22.712023,5.6564355,10.62967,16.105,15735700480,
AEGISLOG.NS,49.010326,6.8714247,4.1086197,33.428,13411376128,
AFFLE.NS,63.082596,8.14186,10.596687,47.144,6557280256,
AJANTPHARM.NS,35.196903,8.539161,6.9690943,24.904,35773399040,
AKUMS.NS,57.728176,3.0643091,2.2274222,19.317,15765159936,
APLLTD.NS,33.37268,3.7476802,2.9151194,20.112,48787202048,
ALKEM.NS,29.10936,5.4603257,4.919784,25.465,80376397824,
ALKYLAMINE.NS,51.78365,6.859024,6.12298,31.554,7330400256,
ALOKINDS.NS,,-0.45025745,2.5048568,-393.946,10156699648,23.85
ARE&M.NS,18.964052,2.6451979,1.5136845,11.244,41223999488,
AMBER.NS,89.559525,9.506336,2.1802318,30.001,17874585600,
AMBUJACEM.NS,33.440453,2.615499,3.990064,24.096,2.01695E+11,
ANANDRATHI.NS,53.02821,23.619768,16.241062,36.685,5607711232,
ANANTRAJ.NS,41.947792,4.291466,8.70246,35.971,5772400128,
ANGELONE.NS,23.557693,4.8006196,5.4126544,,41684918272,
APARINDS.NS,37.216797,6.7983403,1.647701,19.889,38418698240,
APOLLOHOSP.NS,77.87228,14.212471,4.8254266,39.485,73384001536,
APOLLOTYRE.NS,28.03794,2.1274722,1.2037868,9.771,1.14289E+11,
APTUS.NS,22.943333,3.9771874,13.989519,,12295704576,
ACI.NS,47.76336,4.1431327,7.4185953,25.092,10318217216,
ASAHIINDIA.NS,47.777046,6.638603,3.8571167,25.817,22582800384,
ASHOKLEY.NS,24.910696,5.756623,1.4514107,11.45,1.88556E+11,
ASIANPAINT.NS,60.90552,11.499728,6.58058,36.777,1.43898E+11,
ASTERDM.NS,88.84553,7.939207,6.8690996,41.362,22828900352,
ASTRAZEN.NS,205.29488,29.467623,12.3827,95.193,6958300160,
ASTRAL.NS,77.289955,11.212682,6.948934,41.081,23132000256,
ATUL.NS,43.396458,3.7476263,3.7581685,22.553,21853399040,
AUROPHARMA.NS,19.727697,2.2328231,2.218079,10.82,1.78797E+11,
AVANTIFEED.NS,24.360498,4.6644564,2.1292388,17.388,12472943616,
DMART.NS,99.93721,12.561618,4.5368624,60.121,88063500288,
AXISBANK.NS,13.479755,2.1102753,4.910352,,7.67142E+11,
BASF.NS,48.245934,6.3552785,1.5147805,29.642,24088999936,
BEML.NS,68.115555,6.6045775,4.5895085,35.524,18284851200,
BLS.NS,33.423824,9.818134,7.7396417,25.903,8837956608,
BSE.NS,107.59772,18.167393,30.977697,41.38,32120399872,
BAJAJ-AUTO.NS,33.27576,8.061207,4.8861394,20.935,1.6185E+11,
BAJFINANCE.NS,34.579945,5.93553,15.558082,,3.43903E+11,
BAJAJFINSV.NS,37.326786,4.5376267,2.487679,13.222,6.60474E+11,
BAJAJHLDNG.NS,20.707228,2.5996175,85.444786,99.387,18058799104,
BALAMINES.NS,25.951424,2.7175283,3.3045452,16.895,6512245248,2350
BALKRISIND.NS,27.151886,4.6388083,4.611355,21.495,53864898560,
BALRAMCHIN.NS,26.254057,3.0119455,2.111341,19.58,15573736448,
BANDHANBNK.NS,9.719482,1.086225,2.4968226,,1.06918E+11,
BANKBARODA.NS,6.0304623,0.8525539,1.9413166,,6.43397E+11,
BANKINDIA.NS,5.594182,0.66104287,1.7941059,,2.97682E+11,
MAHABANK.NS,6.8002663,1.3705283,3.4081776,,1.15254E+11,
BATAINDIA.NS,47.525887,11.253262,4.721281,37.351,19741190144,
BAYERCROP.NS,44.326565,7.4807944,4.420048,35.339,19917000704,
BERGEPAINT.NS,54.247524,10.369039,5.53419,34.738,47827800064,
BDL.NS,270.45328,18.76929,28.923092,138.794,14701294592,
BEL.NS,52.750343,14.072678,11.826351,39.667,1.15815E+11,
BHARATFORG.NS,62.329178,6.4332633,3.9507744,23.516,85284626432,
BHEL.NS,171.15031,3.684951,3.2174628,72.526,94943297536,
BPCL.NS,10.344331,1.6953024,0.31829002,7.212,5.49749E+11,305
BHARTIARTL.NS,32.959858,9.899579,6.4006357,14.5,1.12172E+12,
BHARTIHEXA.NS,56.575253,14.25802,9.896608,20.728,48047001600,
BIKAJI.NS,91.35169,13.21086,6.976278,55.097,8472444928,
BIOCON.NS,39.238487,1.8367664,2.6089838,18.768,1.00642E+11,
BIRLACORPN.NS,36.681465,1.5423361,1.1740719,11.067,60582801408,
BSOFT.NS,20.487028,3.5772586,2.145269,14.69,20877119488,
BLUEDART.NS,62.18742,11.96563,3.0344925,27.864,12626700288,
BLUESTARCO.NS,53.866714,10.38609,2.6663039,35.944,28933099520,
BBTC.NS,12.421832,2.475512,0.75092584,4.676,78071644160,108.5
BOSCHLTD.NS,47.24541,7.5237827,5.5649757,40.013,59213000704,
BRIGADE.NS,37.774677,4.580463,5.2168813,20.111,26097600512,
BRITANNIA.NS,61.029495,30.549166,7.42072,41.411,73386196992,
MAPMYINDIA.NS,72.82779,13.4174795,22.902843,58.568,3230000128,
CCL.NS,34.604473,5.448343,3.4421055,21.999,12716170240,
CESC.NS,16.401163,1.8708963,1.3197223,13.057,59899998208,
CGPOWER.NS,110.0552,27.734716,10.767154,80.439,29824700416,
CIEINDIA.NS,21.642824,2.6179023,1.9543195,12.013,40929730560,
CRISIL.NS,52.907627,14.599598,11.227089,39.807,15666700288,
CAMPUS.NS,70.84143,12.160418,5.471602,41.159,7781499904,
CANFINHOME.NS,11.744638,1.9852457,7.657023,,12839753728,
CANBK.NS,5.557394,0.924766,1.5930886,,6.12136E+11,
CAPLIPOINT.NS,31.07881,5.9736166,8.559134,24.556,11666299904,
CGCL.NS,27.499998,3.053032,7.319108,,16474980352,
CARBORUNIV.NS,64.548965,4.7821126,3.8977685,23.675,26325399552,
CASTROLIND.NS,21.820566,9.027958,3.767697,14.96,26466699264,
CEATLTD.NS,31.927023,3.4281588,1.1433432,11.716,49857601536,
CELLO.NS,39.46485,6.9149766,6.7001314,26.144,10611587072,
CENTRALBK.NS,8.231788,0.8793775,2.0282533,,1.66413E+11,
CDSL.NS,58.405567,20.07846,12.799327,,23985645568,
CENTURYPLY.NS,80.00521,7.5487757,3.882798,37.923,19912126464,
CERA.NS,35.83949,6.19539,4.3524833,25.305,10142447616,
CHALET.NS,141.09567,6.5442233,11.642757,29.47,12314940416,
CHAMBLFERT.NS,14.249636,2.6967158,1.4131819,9.203,73301000192,
CHEMPLASTS.NS,,3.399926,1.608253,36.914,15931499520,
CHENNPETRO.NS,47.83078,1.2462124,0.17251782,12.676,29457199104,
CHOLAHLDNG.NS,15.809072,2.7451656,1.8913075,,1.38815E+11,
CHOLAFIN.NS,32.486668,5.843046,12.741058,,1.08571E+11,
CIPLA.NS,22.728941,3.8426785,4.416891,15.756,1.82164E+11,
CUB.NS,13.015263,1.5337697,4.92386,,29517756416,
CLEAN.NS,57.14916,10.696837,15.103148,34.897,6545189888,
COALINDIA.NS,7.0193486,2.5047894,1.9547848,4.677,8.62017E+11,
COCHINSHIP.NS,60,8.883546,10.286445,54.463,18119622656,
COFORGE.NS,66.84718,8.872768,4.6930704,33.265,48164999168,
COLPAL.NS,47.534557,41.026688,11.31037,33.918,42218999808,
CAMS.NS,41.795734,17.568182,13.82209,28.516,9534048256,
CONCORDBIO.NS,49.172543,10.087307,14.733281,34.557,8048627200,
CONCOR.NS,34.562386,3.6460075,5.090253,21.314,33757300736,
COROMANDEL.NS,34.27653,6.368326,2.9352863,25.425,62309699584,
CRAFTSMAN.NS,65.48522,4.5691624,2.2942207,18.402,25884100608,
CREDITACC.NS,34.459175,2.622389,9.722063,,18779699200,
CROMPTON.NS,41.2659,6.78509,2.922641,25.351,25902200832,
CUMMINSIND.NS,40.542477,11.716631,7.9719048,34.027,36544999424,
CYIENT.NS,24.315277,2.803145,2.0223575,12.397,25315000320,
DLF.NS,44.11798,4.5247235,24.085289,87.882,38620798976,
DOMS.NS,74.7512,15.091199,7.9145193,44.535,8320250880,
DABUR.NS,48.368576,7.8651314,6.7757635,36.236,60282298368,
DALBHARAT.NS,56.43975,2.2189417,2.7601452,17.203,87490002944,
DATAPATTNS.NS,71.171585,10.484045,22.325632,53.709,4322500096,
DEEPAKFERT.NS,18.473085,2.7649856,1.6847864,10.122,36855099392,510
DEEPAKNTR.NS,37.300747,5.481243,3.3900785,26.269,19375599616,
DELHIVERY.NS,170.21126,2.8751674,3.0284383,307.742,75559968768,
DEVYANI.NS,1253.857,19.699247,4.287797,30.138,27018080256,
DIVISLAB.NS,81.82922,11.9511385,19.107529,56.752,56349999104,
DIXON.NS,74.39831,25.887709,2.3390348,52.039,30272800768,
LALPATHLAB.NS,49.022594,10.987951,9.699991,32.756,14974999552,
DRREDDY.NS,18.30776,3.101219,3.1714947,11.107,1.90428E+11,
EIDPARRY.NS,21.61375,2.360049,0.5781169,7.872,67322400768,560
EIHOTEL.NS,31.342081,5.6504545,8.4713,21.788,18435049472,
EASEMYTRIP.NS,53.000004,5.7668395,6.687353,20.567,4351690240,
EICHERMOT.NS,31.507607,6.986305,7.377866,24.494,98781700096,
ELECON.NS,36.33567,7.556593,6.7895074,27.07,10396099584,
ELGIEQUIP.NS,46.79688,8.799927,4.473175,31.248,17108629504,
EMAMILTD.NS,31.935572,9.542182,6.759167,25.112,26149599232,
EMCURE.NS,38.470394,5.9821997,3.3503923,16.483,48166551552,
ENDURANCE.NS,40.243576,5.8930025,2.9149027,21.121,49576931328,
ENGINERSIN.NS,27.037838,4.7280116,3.9012492,34.055,5491814912,
EQUITASBNK.NS,49.58915,1.1988605,1.7520714,,41631019008,
ERIS.NS,59.582527,7.344232,7.3053827,22.735,21652699136,
ESCORTS.NS,34.292286,3.7156453,3.7649634,30.084,29887399936,
EXIDEIND.NS,41.324787,2.3613875,1.9073143,18.905,56404299776,
NYKAA.NS,1112.5554,38.526356,7.578013,217.196,32783800320,
FEDERALBNK.NS,12.017858,1.4363257,3.677291,,1.34798E+11,
FACT.NS,,46.707706,14.755574,1826.177,10960711680,
FINEORG.NS,34.57932,6.186433,6.258475,25.674,9405917184,
FINCABLES.NS,21.480097,2.876361,2.9144568,22.89,9972500480,
FINPIPE.NS,17.246141,2.268216,3.1490533,15.083,17125399552,
FSL.NS,46.072277,6.5444236,3.358494,24.045,29845340160,
FIVESTAR.NS,19.39265,3.2994792,9.970093,,20908937216,
FORTIS.NS,68.89105,5.9963083,6.869825,35.584,31547000832,
GRINFRA.NS,12.265788,1.4647611,1.6820012,9.881,24478965760,1515
GAIL.NS,10.197993,1.4940208,0.895286,9.388,2.61653E+11,205
GVT&D.NS,134.56198,38.562824,13.098741,67.959,15292399616,
GMRAIRPORT.NS,,-35.703674,8.771251,33.185,58790301696,
GRSE.NS,59.070827,15.026943,6.157167,66.796,9085436928,
GICRE.NS,10.072362,0.8374641,1.6473612,5.369,95704588288,289.5
GILLETTE.NS,64.60914,28.207901,10.952174,39.002,16358700032,
GLAND.NS,35.69159,2.7509403,4.4811015,17.696,33269690368,
GLAXO.NS,54.14228,25.697447,13.3797,41.325,23583500288,
GLENMARK.NS,,2.3227603,2.809928,13.048,95353143296,
MEDANTA.NS,67.317345,9.586594,8.77998,36.95,19881039872,
GODIGIT.NS,70.539955,6.549028,3.1091504,68.055,16078499840,
GPIL.NS,15.146416,2.507246,2.4145198,10.218,24054099968,575
GODFRYPHLP.NS,37.189972,8.178757,6.6699142,35.938,23583100928,
GODREJAGRO.NS,33.46446,6.0474358,1.5388539,19.503,24099201024,
GODREJCP.NS,70.81036,10.937035,9.148077,43.615,78281801728,
GODREJIND.NS,40.085793,3.8724842,1.7941908,17.625,92256403456,
GODREJPROP.NS,45.76171,3.909828,13.746792,1567.472,19982899200,
GRANULES.NS,26.355804,3.6790197,2.827894,14.189,25935640576,
GRAPHITE.NS,22.721119,1.7806921,4.1039925,29.39,8600000512,
GRASIM.NS,45.8237,1.8340287,1.2137423,14.175,8.59409E+11,
GESHIP.NS,5.6855206,0.9330325,2.4993763,2.75,34721398784,110.7
GRINDWELL.NS,52.605045,8.602235,6.902501,36.702,15355480064,
GAEL.NS,21.091911,1.7416251,1.1414572,11.813,12399899648,152.8
FLUOROCHEM.NS,96.78322,7.1981983,9.492171,46.372,22629951488,
GUJGASLTD.NS,27.664867,3.9872637,1.9269311,16.817,32709699584,
GMDCLTD.NS,16.760891,1.792351,4.0374637,16.915,22948499456,
GNFC.NS,15.580269,0.95989656,1.0103346,8.227,16669500416,638.5
GPPL.NS,20.402758,3.0866823,7.2051477,10.835,6804919808,
GSFC.NS,13.700809,0.66702324,0.85025185,9.687,24131500032,172.9
GSPL.NS,13.77943,1.6181371,1.0222361,6.869,46322167808,275.5
HEG.NS,82.12121,2.112228,4.1201725,25.085,10518299648,
HBLENGINE.NS,49.44346,10.249571,7.7215376,37.641,10224293888,
HCLTECH.NS,26.105131,556.383,327.57452,1535.513,4834999808,
HDFCAMC.NS,42.160934,12.69646,25.445908,30.661,36666900480,
HDFCBANK.NS,20.99102,2.844084,5.4455876,,2.72847E+12,
HDFCLIFE.NS,92.52669,10.38546,1.7280524,126.915,82399297536,
HFCL.NS,33.713726,3.0645564,3.0074527,27.104,11784399872,
HAPPSTMNDS.NS,49.52769,5.811032,4.428223,,6954999808,
HAVELLS.NS,66.84009,11.805555,4.514486,46.56,70718898176,
HEROMOTOCO.NS,19.91594,4.5230155,2.1306863,13.417,1.40128E+11,
HSCL.NS,42.64969,6.331927,5.1096625,28.02,14343655424,
HINDALCO.NS,9.199583,1.1868598,0.6203479,5.752,7.9151E+11,670
HAL.NS,40.016,9.56536,10.800234,35.38,1.83206E+11,
HINDCOPPER.NS,58.90097,9.793566,12.378895,31.585,19480807424,
HINDPETRO.NS,13.091253,1.7239875,0.20420748,9.049,3.71099E+11,310
HINDUNILVR.NS,52.84989,11.39402,8.911699,36.694,3.2543E+11,
HINDZINC.NS,18.406122,14.299985,5.7693787,10.986,2.63E+11,
POWERINDIA.NS,179.68767,16.5233,11.406053,116.471,24192399360,
HOMEFIRST.NS,27.896486,4.187978,15.510586,,7816220160,
HONASA.NS,129.38115,8.680195,4.9809384,284.417,14540239872,
HONAUT.NS,62.71598,8.144417,7.8515544,50.96,16433000448,
HUDCO.NS,17.609756,2.6511037,11.890341,,40087699456,
ICICIBANK.NS,20.516926,3.3143253,5.1909018,,2.00654E+12,
ICICIGI.NS,36.292576,6.092164,3.8130686,27.518,61955899392,
ICICIPRULI.NS,79.65687,7.859639,1.3228014,56.833,64295899136,
ISEC.NS,13.86558,5.2296715,6.2624364,,42638598144,
IDBI.NS,12.963381,1.6072365,5.130522,,1.92895E+11,
IDFCFIRSTB.NS,25.045113,1.2784494,2.3516228,,2.07558E+11,
IFCI.NS,89.92308,1.7569965,8.983525,,16438400000,
IIFL.NS,47.76376,1.4251252,2.9113503,,60780797952,
INOXINDIA.NS,47.62807,12.262299,8.205564,37.193,7284996096,
IRB.NS,4.755825,1.5789962,4.363781,15.834,39686111232,
IRCON.NS,24.272963,2.7917392,1.6113287,22.598,11445099520,270
ITC.NS,28.120634,7.911472,7.3582697,20.019,4.33446E+11,
ITI.NS,,16.647915,8.522916,-136.732,1361686016,
INDGN.NS,35.748238,5.5779905,5.149187,23.976,28393000960,
INDIACEM.NS,2.159601,0.99421495,2.4429226,-29.74,6727199744,251.5
INDIAMART.NS,25.446808,6.403906,10.083527,22.12,7772250112,
INDIANB.NS,7.116282,1.1202132,2.585069,,3.10105E+11,
IEX.NS,40.185947,15.187007,26.320335,27.919,6573668864,
INDHOTEL.NS,57.77778,9.881519,12.876515,38.19,56405700608,
IOC.NS,14.547112,1.0600927,0.26744574,9.476,1.0132E+12,170
IOB.NS,21.307262,2.2785113,5.957173,,1.23288E+11,
IRCTC.NS,51.15484,17.995914,13.888169,40.242,17309747200,
IRFC.NS,28.148592,3.4701455,27.503998,,66606399488,
IREDA.NS,30.394047,4.543551,19.974594,,23281700864,
IGL.NS,17.030529,2.7221174,1.9358112,12.843,38546198528,
INDUSTOWER.NS,10.195605,3.1542473,3.3317056,6.599,1.63916E+11,
INDUSINDBK.NS,24.186817,0.9611792,3.1824665,,1.95861E+11,
NAUKRI.NS,170.54398,2.2781348,34.584087,102.587,14675460096,
INFY.NS,24.278034,573.476,339.80792,1436.898,5872000000,
INOXWIND.NS,81.119156,9.348732,8.844721,49.02,10172279808,
